branch,group,group_name,subgroup,diagram_title,part_count,source_url,image_url
body_chassis_44V,24,24,005,DESIGN GROUP ORIENTATION TABLE,0,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=005&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24005000002.080624.png&hash=6b775a55c8069c5bee0b04a4e7d729a3
body_chassis_44V,24,24,015,ENGINE SUSPENSION,41,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=24&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B240/B24015000107.980220.png&hash=cbf0caeddb6aa8926701be3b4e7db02b
body_chassis_44V,25,25,015,CLUTCH,1,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=25&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B250/B25015000055.010423.png&hash=55fddf0c78cd070745cb94d0423e481b
body_chassis_44V,26,26,030,FLOOR SHIFT USED WITH MANUAL FIVESPEED TRANSMISSION,100,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=26&subgroup=030&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B260/B26030000042.991029.png&hash=948f4c99038c84c19af6b4b0d3068002
body_chassis_44V,26,26,060,"FLOOR SHIFT,AUTOMATIC TRANSMISSION",44,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=26&subgroup=060&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B260/B26060000046.980220.png&hash=7e88b73ca8c8e092c35b499f9559462e
body_chassis_44V,26,26,100,FLOOR SHIFT USED WITH AUTOMATIC FIVESPEED TRANSMISSION 722.6,57,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=26&subgroup=100&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B261/B26100000449.991029.png&hash=b3f2e03936f78a65da8506616728190d
body_chassis_44V,26,26,105,ONE-TOUCH SHIFT MECHANISM ELETRONIC FIVE-SPEED TRANSMISSION 722.6,31,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=26&subgroup=105&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B261/B26105000004.020423.png&hash=229c63df87ed493fb7e823e7c83a1c76
body_chassis_44V,29,29,015,PEDAL ASSEMBLY WITH BEARING,33,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=29&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B290/B29015000060.050117.png&hash=b0e167a658d080be3d838b14bcc38848
body_chassis_44V,29,29,030,PEDAL ASSEMBLY HYDRAULICS,28,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=29&subgroup=030&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B290/B29030000041.991029.png&hash=9bc3e0b39fdfa76fcf3736ec02ac96be
body_chassis_44V,30,30,015,CONTROL,50,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=30&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B300/B30015000085.061124.png&hash=691dd4c5f8e3839613e1f131043eb21d
body_chassis_44V,31,31,015,TRAILER COUPLING,26,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=31&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B310/B31015000044.990421.png&hash=ea1d3b4c57cf39ad02d0a18481e2d03d
body_chassis_44V,31,31,540,ELECTRICAL PARTS USED FOR TRAILER COUPLING,36,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=31&subgroup=540&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B315/B31540000004.990421.png&hash=1b9ba7f7cc54b6aa2e07fc97a779e309
body_chassis_44V,32,32,015,"SPRINGS AND SUSPENSION,FRONT",49,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B320/B32015000035.040427.png&hash=b023a11ca84a2c05e96063fec3d40558
body_chassis_44V,32,32,060,"TORSION BAR,FRONT",17,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=060&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B320/B32060000071.990510.png&hash=21030238e49de3f47e8aa008db743f64
body_chassis_44V,32,32,120,REAR SPRINGS AND SUSPENSION STANDARD SUSPENSION,42,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=120&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B321/B32120000008.120523.png&hash=dc25f0b07fc89fbc45487af3fb1f2897
body_chassis_44V,32,32,135,REAR SPRINGS AND SUSPENSION USED WITH SELF-LEVELLING DEVICE,32,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=135&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B321/B32135000011.120523.png&hash=97a10f83ddadad413ed981c99b93041b
body_chassis_44V,32,32,180,REAR TORSION BAR - STANDARD SPRING SUSPENSION,11,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=180&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B321/B32180000009.990510.png&hash=94ad0221cf47af2dcd05b63a22cc3786
body_chassis_44V,32,32,195,REAR TORSION BAR & HEIGHT CONTROL VALVE USED SELF-LEVELLINGDEVICE,28,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=195&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B321/B32195000018.990510.png&hash=cdb8f11e7136aa23c995177e62f3a6f0
body_chassis_44V,32,32,240,"OIL TANK & VALVES OF SELF-LEVELLINGDEVICE HYDRAULIC SYSTEM, A S D",23,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=240&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B322/B32240000088.990510.png&hash=c1ce780faa99c4badc982282d80b5c28
body_chassis_44V,32,32,285,LINE ARRANGEMENT IN CASE OF SELF-LEVELLING DEVICE & A S D,33,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=285&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B322/B32285000066.980731.png&hash=51089b9621203a1a89feea6a6ff754e8
body_chassis_44V,32,32,400,HYDRAULIC LINE MOUNTING PARTS,16,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=32&subgroup=400&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B324/B32400000061.980731.png&hash=4a191efbb1ddc1501c1c921c248c7a86
body_chassis_44V,33,33,030,STEERING KNUCKLE AND CONTROL ARM,32,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=33&subgroup=030&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B330/B33030000022.100218.png&hash=112bb5df14e412dc10bd9ae222760a6b
body_chassis_44V,33,33,035,"REGULATION OF DYNAMIC HEADLAMP RANGE CONTROL, FRONT",10,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=33&subgroup=035&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B330/B33035000013.990510.png&hash=20ad7c05fe2c30845013e7b19b08f907
body_chassis_44V,35,35,015,REAR AXLE HOUSING WITH DIFFERENTIAL,90,https://www.ilcats.ru/?brand=mercedes&vin=ADB2020186F450004&function=getParts&class=1&catalog=44V&aggtype=FG&model=202018&group=35&subgroup=015&VinAction=Choose&language=en,https://images.ilcats.ru/getImage.php?catalog=mercedes&filename=BM_IMAGES_ARC/B350/B35015000073.990510.png&hash=116e351d35127652b508a666c585d5ee
